sample_id,Cobertura,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,MSAVI,NDWI,BSI,MBSI,NDSI,MSWI,NDBI,Codigo,geometry_wkt,latitude,longitude
training_000000,Bosque Natural,-74.883,7.82094808,0.030700000002980232,0.024800000712275505,0.042899999767541885,0.020999999716877937,0.08169999718666077,0.25529998540878296,0.3163999915122986,0.3154999911785126,0.34380000829696655,0.34860000014305115,0.16189999878406525,0.06549999862909317,0.8751857280731201,0.5397460460662842,-0.7606026530265808,-0.30084097385406494,0.7703663110733032,0.5810546875,0.5144508481025696,-0.3217427730560303,2,POINT (4792399.98387 2422671.511567),2422671.511566881,4792399.983870232
training_000001,Vegetacion,-74.795,8.110696076,0.02759999968111515,0.020500000566244125,0.030400000512599945,0.01785000041127205,0.03269999846816063,0.0677499994635582,0.07554999738931656,0.06830000132322311,0.07370000332593918,0.05014999955892563,0.040449999272823334,0.02215000055730343,0.5856065154075623,0.09706238657236099,-0.38399189710617065,-0.20734195411205292,0.3876500725746155,0.14184896647930145,0.10750000178813934,-0.25609198212623596,4,POINT (4802286.348416 2454663.355639),2454663.3556387373,4802286.348415864
training_000002,Bosque Natural,-74.918,8.002288507,0.028550000861287117,0.02694999985396862,0.046799998730421066,0.027049999684095383,0.08259999752044678,0.2640500068664551,0.328900009393692,0.32120001316070557,0.3680500090122223,0.36419999599456787,0.1704999953508377,0.07145000249147415,0.8446518182754517,0.5278241038322449,-0.7456521987915039,-0.2759758532047272,0.7261452674865723,0.5692591071128845,0.45076143741607666,-0.3064877390861511,2,POINT (4788650.590287 2442739.104015),2442739.1040145606,4788650.590286846
training_000003,Vegetacion,-74.934,8.125218744,0.0471000000834465,0.05525000020861626,0.08275000005960464,0.10300000011920929,0.15719999372959137,0.21344999969005585,0.24130000174045563,0.25029999017715454,0.2800000011920929,0.2862499952316284,0.361050009727478,0.21654999256134033,0.4169261157512665,0.23227480053901672,-0.5030776262283325,0.20595116913318634,0.5560823082923889,0.6270842552185059,0.35534343123435974,0.1811564862728119,4,POINT (4787009.33062 2456339.307142),2456339.307141687,4787009.330620343
training_000004,Bosque Natural,-74.937,7.99000257,0.029750000685453415,0.0243500005453825,0.04535000026226044,0.025750000029802322,0.07564999908208847,0.2660999894142151,0.32899999618530273,0.3444499969482422,0.36434999108314514,0.3734000027179718,0.16259999573230743,0.06724999845027924,0.8608859777450562,0.5693212747573853,-0.7673165798187256,-0.32388046383857727,0.7265728712081909,0.563837468624115,0.4462365508079529,-0.35864314436912537,2,POINT (4786531.813228 2441390.565639),2441390.5656390265,4786531.813227658
training_000005,Mineria,-74.816,7.875849874,0.14030000567436218,0.20239999890327454,0.30079999566078186,0.39320001006126404,0.43309998512268066,0.43810001015663147,0.4410000145435333,0.4244999885559082,0.4383000135421753,0.4115000069141388,0.5236999988555908,0.46459999680519104,0.03827806934714317,0.03449983522295952,-0.17055010795593262,0.18784818053245544,0.14232739806175232,0.27034565806388855,0.08323617279529572,0.10461929440498352,9,POINT (4799863.231802 2428708.788375),2428708.788374971,4799863.231802208
training_000006,Cuerpos de Agua,-74.794,8.061090533,0.08410000056028366,0.09175000339746475,0.14159999787807465,0.1527000069618225,0.12790000438690186,0.07779999822378159,0.08254999667406082,0.08070000261068344,0.05730000138282776,0.06565000116825104,0.021900000050663948,0.013299999758601189,-0.3084833025932312,-0.11299481987953186,0.2739540934562683,0.00619507534429431,-0.7491409182548523,-0.7321100831031799,-0.8397590517997742,-0.5730994343757629,7,POINT (4802424.269955 2449178.243266),2449178.2432664004,4802424.269955464
training_000007,Suelo Desnudo,-74.962,7.909800976,0.03685000166296959,0.04244999960064888,0.07214999943971634,0.06925000250339508,0.12635000050067902,0.2386000007390976,0.2676500082015991,0.2775000035762787,0.31369999051094055,0.32739999890327454,0.25920000672340393,0.13654999434947968,0.6005767583847046,0.343903124332428,-0.5873016119003296,0.01310920063406229,0.5783224105834961,0.564508855342865,0.3270164728164673,-0.034097254276275635,6,POINT (4783752.344247 2432535.643967),2432535.6439674306,4783752.344247491
training_000008,Bosque Natural,-74.759,7.872508763,0.029100000858306885,0.024399999529123306,0.04520000144839287,0.025299999862909317,0.08219999819993973,0.25360000133514404,0.3116999864578247,0.32260000705718994,0.34860000014305115,0.34790000319480896,0.15080000460147858,0.06310000270605087,0.8545559048652649,0.5361200571060181,-0.7542142271995544,-0.3267061710357666,0.7126632928848267,0.5387755036354065,0.4276018440723419,-0.36290663480758667,2,POINT (4806109.970526 2428312.682144),2428312.682143922,4806109.97052554
training_000009,Cuerpos de Agua,-74.779,8.051021853,0.06840000301599503,0.08020000159740448,0.1363999992609024,0.16859999299049377,0.17630000412464142,0.12370000034570694,0.12800000607967377,0.10949999839067459,0.09969999641180038,0.05770000070333481,0.026900000870227814,0.012500000186264515,-0.21251347661018372,-0.09027870744466782,0.10939406603574753,0.015057097189128399,-0.7248081564903259,-0.6705449819564819,-0.8619546890258789,-0.6055718064308167,7,POINT (4803993.131607 2448058.175421),2448058.175420837,4803993.131607177
